LINEUPS,NETRTG,,,
T. Bryant - D. Avdija,26,,,
W. Hernangomez - N. Marshall,29,,,
W. Matthews - J. Nwora,24,,,
D. Russell - J. Okogie,22,,,
D. Smith Jr. - N. Little,23,,,
G. Dragic - B. Brown,16,,,
G. Hill - W. Matthews,25,,,
S. Milton - P. Reed,25,,,
B. Bogdanovic - C. Reddish,25,,,
J. Culver - J. Konchar,28,,,
J. Harden - K. Irving,8,,,
P. Mills - S. Curry,16,,,
P. Tucker - O. Yurtseven,19,,,
D. Gallinari - T. Luwawu-Cabarrot,25,,,
F. Jackson - S. Lee,16,,,
P. Connaughton - D. DiVincenzo,17,,,
S. Bey - L. Garza,21,,,
T. Satoransky - B. Ingram,23,,,
A. Holiday - D. Gafford,24,,,
A. Simons - T. Watford,31,,,
C. Zeller - A. Simons,23,,,
J. Konchar - S. Aldama,24,,,
J. Winslow - A. Coffey,24,,,
M. Morris - F. Campazzo,30,,,
S. Ibaka - A. Coffey,23,,,
T. Snell - J. Nurkic,26,,,
A. Rivers - D. Reed,26,,,
B. Forbes - Z. Nnaji,14,,,
B. Williams - G. Brown III,20,,,
D. Smith Jr. - C. Elleby,27,,,
G. Dieng - C. Reddish,23,,,
J. Hart - D. Eubanks,10,,,
J. Nurkic - L. Nance Jr.,25,,,
K. Olynyk - T. Lyles,17,,,
M. Brogdon - T. Haliburton,8,,,
P. Mills - A. Drummond,24,,,
R. Hachimura - D. Gafford,26,,,
T. Jerome - A. Wiggins,21,,,
T. Jones - X. Tillman,33,,,
T. Young - D. Murray,20,,,
C. McCollum - N. Marshall,22,,,
D. Bertans - S. Dinwiddie,20,,,
J. Lamb - D. DiVincenzo,16,,,
J. Smith - T. Taylor,18,,,
J. Winslow - A. Simons,7,,,
K. Thompson - D. Green,11,,,
M. Chriss - J. Green,31,,,
T. Hardaway Jr. - J. Green,22,,,
W. Barton - D. Reed,26,,,
B. Biyombo - L. Shamet,27,,,
D. Bertans - J. Green,22,,,
D. Nix - K. Martin Jr.,18,,,
J. Hart - B. Williams,10,,,
K. Dunn - D. Eubanks,14,,,
A. Wiggins - M. Moody,25,,,
B. McLemore - K. Dunn,13,,,
B. McLemore - K. Johnson,19,,,
D. Booker - T. Craig,18,,,
E. Payton - L. Shamet,33,,,
J. Lamb - D. Mitchell,17,,,
J. Landale - K. Johnson,28,,,
M. Morris - D. Reed,25,,,
R. McGruder - S. Lee,20,,,
S. Mykhailiuk - Y. Watanabe,31,,,
D. White - T. Jones,32,,,
E. Freedom - D. Schroder,26,,,
E. Paschall - J. Butler,33,,,
J. Green - J. Green,25,,,
T. Young - K. Johnson,20,,,
D. Eubanks - G. Brown III,18,,,
E. Gordon - D. Nwaba,25,,,
J. Holiday - D. Cousins,16,,,
J. Winslow - I. Hartenstein,22,,,
K. Tillie - D. Bane,19,,,
M. Turner - O. Brissett,27,,,
P. Mills - J. Carter,32,,,
R. Jackson - R. Covington,19,,,
D. McDermott - D. Eubanks,25,,,
J. Holiday - K. Sykes,13,,,
K. Tillie - J. Konchar,25,,,
R. Lopez - R. Hampton,25,,,
T. Craig - O. Brissett,26,,,
T. Lyles - D. Sabonis,12,,,
A. Davis - S. Johnson,13,,,
A. Iguodala - A. Wiggins,27,,,
D. Bembry - B. Brown,35,,,
D. Schroder - G. Mathews,14,,,
J. Vanderbilt - J. McLaughlin,39,,,
T. Jones - J. Morant,33,,,
C. Chiozza - J. Kuminga,26,,,
D. Booker - J. Smith,15,,,
D. Windler - E. Mobley,27,,,
E. Payton - I. Wainright,37,,,
J. Okogie - J. McDaniels,28,,,
P. Siakam - Y. Watanabe,22,,,
R. Lopez - C. Anthony,24,,,
T. Satoransky - J. Hart,25,,,
D. Bembry - N. Claxton,17,,,
M. Bridges - J. Smith,16,,,
P. Williams - A. Dosunmu,14,,,
R. Gay - B. Bogdanovic,24,,,
V. Krejci - A. Wiggins,17,,,
B. Griffin - K. Irving,15,,,
B. McLemore - N. Powell,20,,,
C. McCollum - W. Hernangomez,18,,,
D. Theis - P. Pritchard,21,,,
J. Winslow - B. Boston Jr.,19,,,
L. Ball - C. White,17,,,
M. Turner - K. Martin,24,,,
T. Ariza - A. Reaves,18,,,
D. Favors - T. Mann,21,,,
D. Jordan - A. Davis,16,,,
D. Murray - Z. Collins,21,,,
G. Dragic - N. Claxton,15,,,
I. Brazdeikis - A. Schofield,22,,,
J. Nurkic - D. Smith Jr.,28,,,
K. Olynyk - J. Grant,26,,,
J. Culver - S. Aldama,23,,,
K. Williams - A. Wiggins,25,,,
N. Batum - I. Hartenstein,37,,,
T. Satoransky - D. Avdija,21,,,
B. Ingram - J. Alvarado,24,,,
T. Bradley - C. White,32,,,
G. Dragic - P. Mills,16,,,
J. Johnson - J. Carter,28,,,
K. Sykes - D. Sabonis,9,,,
L. Williams - K. Huerter,38,,,
N. Bjelica - K. Thompson,18,,,
P. Dozier - F. Campazzo,16,,,
S. Ibaka - L. Kennard,22,,,
T. Ariza - T. Horton-Tucker,22,,,
C. Anthony - K. Bazemore,24,,,
D. Jones Jr. - J. Green,25,,,
D. Rose - M. Robinson,21,,,
E. Payton - D. Booker,25,,,
G. Temple - T. Satoransky,28,,,
J. Lamb - C. Duarte,29,,,
J. Winslow - C. Elleby,10,,,
K. Lewis Jr. - T. Murphy III,22,,,
Z. LaVine - T. Bradley,30,,,
B. Lopez - K. Middleton,11,,,
C. Osman - D. Windler,18,,,
F. Korkmaz - P. Reed,29,,,
G. Hill - R. Hood,26,,,
K. Love - D. Windler,25,,,
K. Middleton - D. DiVincenzo,17,,,
S. Lee - C. Cunningham,24,,,
A. Holiday - L. Shamet,17,,,
C. Metu - T. Davis,20,,,
C. Zeller - N. Little,22,,,
K. Bates-Diop - K. Johnson,30,,,
K. Tillie - X. Tillman,25,,,
L. Stephenson - B. Hield,19,,,
P. Tucker - C. Martin,29,,,
T. Hardaway Jr. - S. Brown,26,,,
T. Jerome - T. Maledon,22,,,
T. Maxey - I. Joe,32,,,
B. Forbes - T. Jones,26,,,
D. Jordan - K. Bazemore,20,,,
M. Brogdon - T. Craig,23,,,
R. Jackson - B. Boston Jr.,27,,,
S. Bey - I. Livers,16,,,
S. Ibaka - B. Boston Jr.,20,,,
C. Thomas - D. Duke Jr.,21,,,
D. Bertans - B. Beal,23,,,
F. VanVleet - D. Banton,32,,,
J. Jackson - C. Cunningham,31,,,
L. James - D. Jordan,19,,,
T. Craig - D. Washington Jr.,20,,,
B. Forbes - F. Campazzo,19,,,
D. Brooks - B. Clarke,21,,,
D. Nwaba - J. Green,29,,,
D. Rose - N. Noel,12,,,
I. Smith - J. McDaniels,22,,,
J. McGee - A. Holiday,17,,,
N. Powell - D. Smith Jr.,16,,,
R. McGruder - H. Diallo,29,,,
S. Gilgeous-Alexander - T. Jerome,29,,,
D. Green - J. Toscano-Anderson,32,,,
D. Murray - J. Landale,24,,,
I. Roby - L. Waters III,22,,,
K. Lowry - M. Morris,16,,,
M. Smart - P. Pritchard,32,,,
W. Barton - Z. Nnaji,26,,,
N. Alexander-Walker - T. Murphy III,26,,,
T. Snell - N. Little,22,,,
W. Ellington - A. Reaves,22,,,
C. Okeke - A. Schofield,25,,,
D. Augustin - S. Johnson,19,,,
M. Wagner - A. Schofield,20,,,
S. Ibaka - K. Middleton,16,,,
T. Thompson - A. Dosunmu,22,,,
M. Smart - A. Nesmith,31,,,
P. George - I. Hartenstein,27,,,
P. Millsap - P. Mills,22,,,
R. McGruder - I. Stewart,41,,,
S. Ibaka - J. Holiday,18,,,
T. Antetokounmpo - S. Mamukelashvili,32,,,
W. Hernangomez - J. Hayes,20,,,
D. Lee - C. Chiozza,22,,,
J. Jackson Jr. - K. Tillie,18,,,
K. Bates-Diop - J. Landale,34,,,
K. Olynyk - J. Jackson,12,,,
P. Mills - D. Sharpe,16,,,
C. White - M. Thomas,27,,,
G. Antetokounmpo - D. DiVincenzo,16,,,
G. Clark - J. Alvarado,32,,,
J. Culver - X. Tillman,28,,,
A. Pokusevski - O. Sarr,17,,,
D. Favors - A. Pokusevski,24,,,
D. Howard - W. Ellington,28,,,
K. Birch - S. Mykhailiuk,21,,,
K. Middleton - R. Hood,28,,,
K. Thompson - G. Payton II,24,,,
L. Dort - A. Pokusevski,30,,,
R. Gobert - J. Hernangomez,11,,,
S. Brown - J. Green,31,,,
T. Snell - D. Smith Jr.,21,,,
C. Sexton - D. Garland,9,,,
D. Bertans - C. Kispert,18,,,
J. Brown - D. Theis,17,,,
M. Brogdon - K. Martin,20,,,
S. Gilgeous-Alexander - T. Maledon,23,,,
T. Antetokounmpo - P. Connaughton,25,,,
C. Reddish - I. Quickley,15,,,
C. Wood - D. Nwaba,29,,,
D. Jordan - A. Bradley,18,,,
J. Harden - J. Carter,26,,,
M. Muscala - A. Pokusevski,27,,,
M. Thybulle - I. Joe,28,,,
N. Alexander-Walker - K. Lewis Jr.,23,,,
V. Krejci - T. Mann,18,,,
B. Griffin - D. Bembry,29,,,
C. Anthony - R. Rondo,18,,,
C. Chiozza - J. Toscano-Anderson,27,,,
D. Augustin - C. Wood,29,,,
D. Cousins - P. Connaughton,15,,,
J. Christopher - U. Garuba,24,,,
J. Hoard - V. Krejci,6,,,
J. Richardson - L. Walker IV,14,,,
L. Stephenson - K. Sykes,18,,,
X. Tillman - S. Aldama,22,,,
Y. Watanabe - S. Barnes,21,,,
A. Caruso - T. Bradley,17,,,
C. McCollum - J. Alvarado,21,,,
G. Clark - J. Hayes,27,,,
J. Collins - O. Okongwu,16,,,
J. Lamb - C. LeVert,21,,,
K. Porzingis - F. Ntilikina,19,,,
T. McConnell - K. Martin,16,,,
T. Satoransky - H. Jones,26,,,
T. Satoransky - T. Murphy III,23,,,
D. Schroder - J. Christopher,15,,,
M. Morris Sr. - I. Hartenstein,39,,,
R. Bullock - S. Brown,29,,,
T. Burke - S. Brown,23,,,
A. Bradley - K. Bazemore,20,,,
A. Schofield - R. Hampton,20,,,
C. Anthony - D. Augustin,15,,,
D. Eubanks - T. Watford,12,,,
D. Russell - J. McLaughlin,28,,,
H. Whiteside - D. House Jr.,21,,,
J. Jackson - I. Stewart,31,,,
J. Randle - J. Sims,21,,,
R. O'Neale - E. Paschall,25,,,
E. Freedom - R. Langford,25,,,
K. Porzingis - D. Avdija,16,,,
K. Sykes - O. Brissett,26,,,
K. Sykes - T. Taylor,17,,,
L. Nance Jr. - D. Smith Jr.,15,,,
D. Augustin - J. Christopher,16,,,
G. Temple - J. Alvarado,25,,,
H. Whiteside - E. Paschall,30,,,
K. Porzingis - S. Brown,22,,,
L. Markkanen - C. Sexton,8,,,
L. Stephenson - G. Bitadze,20,,,
D. White - R. Williams III,16,,,
J. Grant - J. Jackson,19,,,
S. Adams - B. Clarke,32,,,
B. Biyombo - C. Payne,19,,,
B. Forbes - D. Eubanks,31,,,
B. McLemore - L. Nance Jr.,15,,,
D. Schroder - A. Nesmith,27,,,
J. Harden - S. Milton,20,,,
M. Harkless - C. Metu,23,,,
N. Bjelica - D. Green,30,,,
N. Jokic - Z. Nnaji,29,,,
J. Randle - R. Barrett,71,,,
B. Bogdanovic - R. O'Neale,71,,,
D. Booker - M. Bridges,67,,,
M. Bridges - D. Ayton,69,,,
R. Bullock - J. Randle,65,,,
D. Lillard - R. Covington,65,,,
S. Curry - D. Green,58,,,
C. Paul - M. Bridges,70,,,
H. Barnes - B. Hield,57,,,
D. Booker - D. Ayton,65,,,
C. Paul - D. Ayton,68,,,
R. Bullock - R. Barrett,65,,,
B. Adebayo - D. Robinson,64,,,
H. Barnes - D. Fox,55,,,
N. Jokic - M. Porter Jr.,61,,,
R. O'Neale - D. Mitchell,52,,,
S. Curry - A. Wiggins,63,,,
J. Holiday - D. Sabonis,62,,,
D. Green - A. Wiggins,63,,,
D. Sabonis - M. Brogdon,50,,,
B. Hield - D. Fox,57,,,
B. Lopez - K. Middleton,68,,,
E. Bledsoe - B. Ingram,60,,,
R. Holmes - B. Hield,60,,,
W. Barton - N. Jokic,56,,,
LINEUPS,GP,,,
J. Randle - R. Barrett,71,,,
B. Bogdanovic - R. O'Neale,71,,,
D. Booker - M. Bridges,67,,,
M. Bridges - D. Ayton,69,,,
R. Bullock - J. Randle,65,,,
D. Lillard - R. Covington,65,,,
S. Curry - D. Green,58,,,
C. Paul - M. Bridges,70,,,
H. Barnes - B. Hield,57,,,
D. Booker - D. Ayton,65,,,
C. Paul - D. Ayton,68,,,
R. Bullock - R. Barrett,65,,,
B. Adebayo - D. Robinson,64,,,
H. Barnes - D. Fox,55,,,
N. Jokic - M. Porter Jr.,61,,,
R. O'Neale - D. Mitchell,52,,,
S. Curry - A. Wiggins,63,,,
J. Holiday - D. Sabonis,62,,,
D. Green - A. Wiggins,63,,,
D. Sabonis - M. Brogdon,50,,,
B. Hield - D. Fox,57,,,
B. Lopez - K. Middleton,68,,,
E. Bledsoe - B. Ingram,60,,,
R. Holmes - B. Hield,60,,,
W. Barton - N. Jokic,56,,,
B. Bogdanovic - D. Mitchell,53,,,
C. Paul - D. Booker,66,,,
T. Rozier - P. Washington,63,,,
D. Green - T. Harris,61,,,
P. Siakam - F. VanVleet,47,,,
J. Collins - T. Young,57,,,
D. Brooks - J. Morant,59,,,
K. Middleton - G. Antetokounmpo,60,,,
S. Adams - B. Ingram,54,,,
J. Holiday - K. Middleton,58,,,
E. Payton - J. Randle,62,,,
T. Harris - B. Simmons,53,,,
D. Green - B. Simmons,56,,,
B. Ingram - L. Ball,49,,,
K. Middleton - D. DiVincenzo,65,,,
C. Capela - T. Young,56,,,
J. Holiday - M. Brogdon,56,,,
K. Anderson - J. Morant,61,,,
R. Rubio - A. Edwards,68,,,
D. DeRozan - K. Johnson,59,,,
E. Payton - R. Barrett,63,,,
R. Westbrook - B. Beal,54,,,
B. Bogdanovic - R. Gobert,71,,,
M. Conley - R. Gobert,51,,,
D. Finney-Smith - L. Doncic,55,,,
K. Towns - A. Edwards,50,,,
R. Gobert - R. O'Neale,70,,,
N. Jokic - J. Murray,48,,,
K. Huerter - T. Young,61,,,
T. Harris - S. Curry,53,,,
G. Antetokounmpo - D. DiVincenzo,59,,,
K. Anderson - D. Brooks,66,,,
E. Bledsoe - Z. Williamson,61,,,
C. Sexton - I. Okoro,55,,,
D. Murray - K. Johnson,64,,,
H. Barnes - R. Holmes,51,,,
J. Valanciunas - D. Brooks,59,,,
B. Beal - R. Hachimura,47,,,
D. Murray - J. Poeltl,65,,,
R. Westbrook - R. Hachimura,52,,,
D. DeRozan - D. Murray,59,,,
D. Schroder - K. Caldwell-Pope,56,,,
D. Garland - I. Okoro,50,,,
K. Irving - J. Harris,52,,,
C. White - P. Williams,68,,,
E. Bledsoe - S. Adams,57,,,
R. Gobert - J. Ingles,66,,,
D. Green - S. Curry,55,,,
R. Holmes - D. Fox,49,,,
S. Curry - B. Simmons,49,,,
B. Lopez - G. Antetokounmpo,61,,,
E. Kanter - D. Lillard,67,,,
B. Lopez - D. DiVincenzo,66,,,
J. Brown - J. Tatum,51,,,
Z. LaVine - P. Williams,57,,,
B. Ingram - Z. Williamson,59,,,
D. Green - J. Embiid,49,,,
J. Valanciunas - J. Morant,54,,,
N. Noel - J. Randle,63,,,
J. Collins - K. Huerter,60,,,
C. Capela - K. Huerter,61,,,
J. Richardson - D. Finney-Smith,55,,,
J. Crowder - M. Bridges,60,,,
J. Valanciunas - K. Anderson,60,,,
T. Rozier - M. Bridges,63,,,
T. Hardaway Jr. - L. Doncic,64,,,
B. Lopez - J. Holiday,59,,,
J. Crowder - D. Booker,56,,,
D. DeRozan - J. Poeltl,61,,,
J. Allen - I. Okoro,51,,,
E. Bledsoe - L. Ball,55,,,
C. Paul - J. Crowder,60,,,
T. Harris - J. Embiid,43,,,
M. Plumlee - J. Grant,51,,,
Z. LaVine - C. White,56,,,
C. McCollum - R. Covington,47,,,
J. Butler - D. Robinson,52,,,
S. Curry - K. Oubre Jr.,48,,,
J. Crowder - D. Ayton,58,,,
J. Holiday - G. Antetokounmpo,51,,,
R. Rubio - K. Towns,48,,,
J. Embiid - B. Simmons,42,,,
N. Noel - R. Barrett,64,,,
D. Bazley - L. Dort,46,,,
G. Hayward - T. Rozier,42,,,
M. Turner - M. Brogdon,43,,,
J. Richardson - L. Doncic,53,,,
J. Green - J. Harris,65,,,
J. Poeltl - K. Johnson,66,,,
S. Curry - J. Embiid,42,,,
B. Hield - T. Haliburton,57,,,
W. Barton - J. Murray,45,,,
M. Smart - J. Brown,40,,,
R. Bullock - E. Payton,56,,,
N. Batum - K. Leonard,50,,,
L. Ball - Z. Williamson,50,,,
C. Sexton - D. Garland,47,,,
A. Wiggins - K. Oubre Jr.,55,,,
H. Barnes - T. Haliburton,52,,,
A. Edwards - J. McDaniels,63,,,
J. Ingles - R. O'Neale,67,,,
J. Butler - B. Adebayo,48,,,
B. Adebayo - K. Nunn,50,,,
D. Lillard - D. Jones Jr.,53,,,
D. Lillard - C. McCollum,43,,,
C. Capela - J. Collins,55,,,
T. Hardaway Jr. - J. Brunson,66,,,
B. Biyombo - T. Rozier,64,,,
S. Adams - Z. Williamson,54,,,
M. Turner - D. Sabonis,45,,,
R. Gobert - D. Mitchell,53,,,
D. Green - K. Oubre Jr.,48,,,
G. Temple - C. White,55,,,
J. Clarkson - J. Ingles,64,,,
J. Holiday - M. Turner,47,,,
T. Hardaway Jr. - D. Finney-Smith,59,,,
J. Allen - C. Sexton,45,,,
S. Adams - L. Ball,45,,,
P. George - K. Leonard,43,,,
K. Lowry - P. Siakam,38,,,
T. Rozier - D. Graham,52,,,
D. Robinson - K. Nunn,54,,,
B. Bogdanovic - J. Ingles,67,,,
M. Morris Sr. - I. Zubac,57,,,
D. McDermott - D. Sabonis,57,,,
R. Gay - P. Mills,59,,,
D. Schroder - K. Kuzma,58,,,
E. Kanter - R. Covington,70,,,
N. Noel - R. Bullock,55,,,
D. Graham - P. Washington,49,,,
M. Smart - J. Tatum,41,,,
N. Batum - P. George,52,,,
R. Westbrook - D. Bertans,51,,,
J. Allen - D. Garland,41,,,
F. VanVleet - O. Anunoby,36,,,
J. Green - K. Irving,50,,,
M. Kleber - L. Doncic,44,,,
J. Holiday - T. McConnell,68,,,
M. Bridges - D. Graham,53,,,
P. Siakam - O. Anunoby,38,,,
J. Holiday - D. McDermott,64,,,
K. Caldwell-Pope - K. Kuzma,61,,,
W. Barton - M. Porter Jr.,45,,,
D. Fox - T. Haliburton,52,,,
R. Gobert - J. Clarkson,67,,,
C. Anthony - D. Lillard,64,,,
M. Harrell - K. Kuzma,64,,,
K. Lowry - F. VanVleet,38,,,
D. DeRozan - L. Walker IV,49,,,
T. Young - Z. LaVine,54,,,
J. Holiday - D. DiVincenzo,56,,,
G. Allen - J. Morant,43,,,
T. Thompson - J. Tatum,48,,,
D. Jordan - J. Harris,56,,,
K. Walker - J. Tatum,39,,,
J. Grant - D. Wright,36,,,
T. Rozier - L. Ball,49,,,
T. Hardaway Jr. - J. Richardson,58,,,
B. Hield - M. Bagley III,43,,,
J. Harden - J. Harris,34,,,
D. Murray - L. Walker IV,54,,,
J. Grant - S. Bey,49,,,
R. Covington - D. Jones Jr.,53,,,
P. George - I. Zubac,54,,,
S. Milton - M. Thybulle,60,,,
T. McConnell - D. Sabonis,59,,,
R. Westbrook - R. Lopez,64,,,
K. Anderson - G. Allen,50,,,
B. Adebayo - T. Herro,47,,,
G. Hayward - P. Washington,41,,,
L. Walker IV - K. Johnson,57,,,
D. Bazley - T. Maledon,49,,,
N. Powell - F. VanVleet,37,,,
D. McDermott - T. McConnell,61,,,
B. Bogdanovic - J. Clarkson,68,,,
J. Clarkson - R. O'Neale,68,,,
S. Gilgeous-Alexander - L. Dort,32,,,
M. Conley - R. O'Neale,50,,,
P. George - M. Morris Sr.,44,,,
J. Clarkson - G. Niang,68,,,
M. Plumlee - S. Bey,50,,,
R. Gobert - G. Niang,70,,,
T. Thompson - J. Brown,44,,,
K. Walker - J. Brown,33,,,
M. Conley - B. Bogdanovic,51,,,
K. Porzingis - L. Doncic,40,,,
P. Millsap - N. Jokic,44,,,
D. Lillard - G. Trent Jr.,40,,,
K. Towns - J. McDaniels,43,,,
J. Murray - M. Porter Jr.,38,,,
K. Porzingis - D. Finney-Smith,33,,,
T. Young - P. Williams,64,,,
D. Finney-Smith - J. Brunson,60,,,
K. Porzingis - J. Richardson,36,,,
J. Richardson - M. Kleber,46,,,
T. Young - C. White,63,,,
A. Wiggins - K. Looney,60,,,
S. Curry - K. Bazemore,58,,,
C. Anthony - E. Kanter,69,,,
R. Holmes - T. Haliburton,49,,,
R. Jackson - I. Zubac,65,,,
E. Kanter - G. Trent Jr.,41,,,
M. Harrell - T. Horton-Tucker,60,,,
N. Jokic - F. Campazzo,58,,,
C. Wood - J. Tate,41,,,
L. James - K. Caldwell-Pope,41,,,
D. Howard - S. Milton,60,,,
M. Bridges - P. Washington,58,,,
D. Bertans - B. Beal,50,,,
G. Temple - Z. LaVine,42,,,
D. Robinson - T. Herro,54,,,
P. Washington - L. Ball,46,,,
D. DeRozan - P. Mills,59,,,
D. Favors - R. O'Neale,66,,,
S. Gilgeous-Alexander - D. Bazley,30,,,
L. James - D. Schroder,40,,,
P. Mills - J. Poeltl,65,,,
D. Jordan - K. Irving,42,,,
J. Jackson - S. Bey,56,,,
J. Brown - D. Theis,39,,,
N. Jokic - M. Morris,47,,,
A. Davis - D. Schroder,30,,,
J. Harris - B. Brown,57,,,
K. Irving - B. Brown,46,,,
T. McConnell - A. Holiday,60,,,
R. Westbrook - R. Neto,58,,,
C. Paul - C. Johnson,59,,,
M. Morris Sr. - K. Leonard,43,,,
S. Hill - K. Huerter,63,,,
C. Osman - I. Okoro,50,,,
J. Wall - J. Tate,40,,,
M. Porter Jr. - F. Campazzo,51,,,
P. Mills - D. Murray,64,,,
C. McCollum - J. Nurkic,37,,,
J. Butler - T. Herro,43,,,
S. Curry - K. Looney,54,,,
T. Young - T. Satoransky,55,,,
B. Beal - R. Neto,54,,,
K. Durant - J. Harris,32,,,
M. Bridges - L. Ball,45,,,
R. Westbrook - D. Avdija,48,,,
C. McCollum - N. Powell,27,,,
D. Favors - B. Bogdanovic,68,,,
P. George - R. Jackson,49,,,
A. Davis - K. Caldwell-Pope,32,,,
E. Kanter - D. Jones Jr.,54,,,
K. Bazemore - A. Wiggins,64,,,
I. Roby - T. Maledon,55,,,
C. Capela - B. Bogdanovic,37,,,
K. Middleton - P. Connaughton,64,,,
N. Vucevic - D. Bacon,44,,,
T. Young - G. Temple,51,,,
K. Lowry - N. Powell,35,,,
K. Middleton - B. Portis,64,,,
J. Butler - K. Nunn,38,,,
B. Bogdanovic - T. Young,38,,,
C. Anthony - A. Simons,58,,,
J. Grant - J. Jackson,49,,,
J. Ingles - G. Niang,67,,,
D. Favors - J. Clarkson,64,,,
J. Holiday - P. Connaughton,55,,,
R. Rubio - J. McDaniels,54,,,
A. Burks - J. Randle,48,,,
J. Morant - D. Bane,59,,,
K. Durant - K. Irving,27,,,
G. Hayward - D. Graham,36,,,
S. Ibaka - N. Batum,37,,,
J. Valanciunas - G. Allen,46,,,
R. Covington - J. Nurkic,37,,,
A. Iguodala - T. Herro,46,,,
L. Dort - T. Maledon,46,,,
A. Iguodala - D. Robinson,62,,,
G. Antetokounmpo - P. Connaughton,57,,,
D. Finney-Smith - M. Kleber,46,,,
D. Wade - I. Okoro,57,,,
K. Lowry - O. Anunoby,27,,,
D. Green - K. Bazemore,59,,,
D. Sabonis - C. LeVert,25,,,
J. Tatum - P. Pritchard,59,,,
K. Leonard - I. Zubac,52,,,
A. Iguodala - B. Adebayo,56,,,
G. Dragic - B. Adebayo,45,,,
L. Markkanen - C. White,48,,,
S. Bey - I. Stewart,66,,,
D. Brooks - G. Allen,47,,,
D. Lillard - J. Nurkic,34,,,
J. Holiday - C. LeVert,35,,,
D. Fox - M. Bagley III,37,,,
J. Randle - M. Robinson,30,,,
S. Brown - J. Tate,49,,,
J. Vanderbilt - A. Edwards,60,,,
T. Hardaway Jr. - K. Porzingis,42,,,
Z. LaVine - L. Markkanen,38,,,
J. Green - L. Shamet,56,,,
M. Gasol - K. Caldwell-Pope,46,,,
N. Powell - P. Siakam,33,,,
R. Covington - G. Trent Jr.,38,,,
K. Leonard - R. Jackson,43,,,
J. Brunson - L. Doncic,58,,,
K. Olynyk - D. Robinson,43,,,
J. Richardson - J. Brunson,59,,,
B. Ingram - J. Hart,46,,,
J. Poeltl - D. White,35,,,
R. Lopez - B. Beal,59,,,
D. McDermott - M. Brogdon,50,,,
D. White - K. Johnson,36,,,
M. Robinson - R. Barrett,31,,,
M. Conley - D. Mitchell,42,,,
T. Maledon - A. Pokusevski,42,,,
J. Jackson - I. Stewart,57,,,
P. Millsap - W. Barton,45,,,
C. Osman - C. Sexton,47,,,
G. Temple - P. Williams,54,,,
M. Gasol - D. Schroder,43,,,
P. Millsap - J. Murray,37,,,
C. Anthony - R. Covington,67,,,
N. Vucevic - E. Fournier,26,,,
T. Satoransky - Z. LaVine,47,,,
J. Okogie - A. Edwards,53,,,
M. Morris Sr. - R. Jackson,50,,,
D. Howard - M. Thybulle,62,,,
T. Snell - T. Young,41,,,
D. Favors - D. Mitchell,52,,,
B. Portis - P. Connaughton,63,,,
J. Morant - B. Clarke,51,,,
R. Gay - D. Murray,58,,,
H. Barnes - M. Bagley III,34,,,
J. Tatum - D. Theis,36,,,
R. Rubio - J. Vanderbilt,56,,,
D. Brooks - B. Clarke,56,,,
J. Harden - K. Irving,27,,,
M. Harrell - A. Caruso,54,,,
D. Ayton - C. Johnson,59,,,
D. Schroder - M. Harrell,59,,,
J. Ingles - D. Mitchell,48,,,
M. Beasley - A. Edwards,37,,,
G. Antetokounmpo - B. Forbes,59,,,
A. Burks - I. Quickley,46,,,
J. Green - J. Harden,32,,,
M. Plumlee - D. Wright,34,,,
B. Beal - D. Avdija,45,,,
G. Hayward - M. Bridges,44,,,
D. Murray - D. White,33,,,
J. Butler - K. Olynyk,29,,,
D. Booker - C. Johnson,56,,,
R. Covington - N. Powell,27,,,
J. Poeltl - L. Walker IV,55,,,
K. Walker - M. Smart,29,,,
R. Westbrook - G. Mathews,55,,,
C. Anthony - G. Trent Jr.,40,,,
N. Reid - A. Edwards,70,,,
T. Satoransky - P. Williams,52,,,
W. Matthews - M. Harrell,54,,,
P. Siakam - C. Boucher,47,,,
A. Wiggins - J. Toscano-Anderson,47,,,
J. Tatum - R. Williams III,49,,,
F. VanVleet - C. Boucher,46,,,
N. Batum - R. Jackson,57,,,
A. Caruso - K. Kuzma,52,,,
G. Hayward - L. Ball,37,,,
S. Hill - C. Capela,57,,,
L. Nance Jr. - I. Okoro,30,,,
S. Ibaka - K. Leonard,31,,,
N. Noel - E. Payton,55,,,
L. James - K. Kuzma,44,,,
W. Ellington - J. Grant,40,,,
B. Lopez - P. Connaughton,66,,,
J. Holiday - B. Portis,55,,,
R. Gay - J. Poeltl,59,,,
R. Holmes - M. Bagley III,39,,,
G. Hayward - B. Biyombo,42,,,
M. Morris - D. Schroder,44,,,
Z. LaVine - W. Carter Jr.,32,,,
D. Bacon - C. Anthony,45,,,
D. Russell - A. Edwards,42,,,
F. Korkmaz - S. Milton,49,,,
B. Biyombo - D. Graham,49,,,
K. Kuzma - T. Horton-Tucker,59,,,
M. Bridges - C. Johnson,57,,,
S. Hill - T. Young,62,,,
A. Horford - L. Dort,27,,,
C. Zeller - T. Rozier,45,,,
R. Westbrook - A. Len,52,,,
D. Booker - C. Payne,58,,,
D. Bacon - C. Okeke,44,,,
D. DeRozan - D. White,30,,,
G. Dragic - D. Robinson,50,,,
N. Vucevic - T. Ross,36,,,
J. Tatum - G. Williams,55,,,
R. Lopez - R. Neto,60,,,
M. Brown - T. Maledon,39,,,
