LINEUPS,NETRTG,,,
C. Martin - T. Herro,5.3,,,
J. Holiday - G. Antetokounmpo,12.7,,,
P. George - I. Zubac,4.4,,,
K. Porter Jr. - A. Sengun,-7.3,,,
D. Brooks - J. Jackson Jr.,6.7,,,
K. Johnson - T. Jones,-8.3,,,
M. Plumlee - T. Rozier,-4.7,,,
J. Holiday - G. Allen,6.7,,,
A. Horford - D. White,12.4,,,
K. Thompson - J. Poole,-2.3,,,
K. Porzingis - M. Morris,1.5,,,
B. Beal - K. Porzingis,1.2,,,
J. Embiid - T. Maxey,10.6,,,
C. LeVert - D. Garland,7.9,,,
P. George - M. Morris Sr.,5.9,,,
P. Tucker - D. Melton,1.4,,,
C. Capela - D. Hunter,0.5,,,
K. Porzingis - D. Avdija,0,,,
K. Lowry - B. Adebayo,1.8,,,
W. Carter Jr. - F. Wagner,3.7,,,
T. Craig - M. Bridges,-6.4,,,
O. Anunoby - G. Trent Jr.,0.5,,,
D. DiVincenzo - J. Poole,2.9,,,
B. Ingram - H. Jones,5,,,
D. Booker - D. Ayton,5.4,,,
K. Hayes - J. Ivey,-15.4,,,
R. Barrett - Q. Grimes,-0.4,,,
D. Murray - O. Okongwu,-0.3,,,
N. Vucevic - A. Caruso,8,,,
K. Caldwell-Pope - B. Brown,8.6,,,
Z. LaVine - A. Caruso,7.1,,,
J. Valanciunas - H. Jones,0.3,,,
K. Anderson - J. McDaniels,6.1,,,
K. Olynyk - J. Clarkson,2,,,
M. Turner - A. Nembhard,-3.7,,,
K. Irving - R. O'Neale,2.5,,,
M. Fultz - F. Wagner,0.6,,,
B. Hield - A. Nesmith,-2.7,,,
C. McCollum - N. Marshall,-2.4,,,
K. Porzingis - C. Kispert,0.8,,,
I. Okoro - E. Mobley,4.1,,,
M. Robinson - Q. Grimes,10.1,,,
I. Hartenstein - I. Quickley,9.6,,,
B. Bogdanovic - I. Stewart,-10,,,
C. Martin - M. Strus,-5.1,,,
R. Bullock - S. Dinwiddie,-3.2,,,
J. Brunson - M. Robinson,6.3,,,
S. Dinwiddie - L. Doncic,-0.6,,,
B. Lopez - G. Antetokounmpo,9.7,,,
D. Sabonis - D. Mitchell,4,,,
R. Gobert - D. Russell,0.2,,,
J. Harris - R. O'Neale,-0.7,,,
J. Murray - M. Porter Jr.,11.4,,,
K. Kuzma - M. Morris,2,,,
J. Nurkic - A. Simons,0.8,,,
A. Nembhard - A. Nesmith,-8,,,
K. Leonard - I. Zubac,6.9,,,
R. Gobert - K. Anderson,7.1,,,
D. Garland - I. Okoro,8.2,,,
K. Porter Jr. - K. Martin Jr.,-7.9,,,
B. Lopez - J. Carter,5,,,
M. Robinson - R. Barrett,2.5,,,
C. Paul - T. Craig,-3.3,,,
J. Harden - T. Maxey,6.7,,,
S. Curry - K. Looney,11.4,,,
K. Lowry - C. Martin,2.5,,,
A. Nembhard - T. Haliburton,-2.6,,,
R. Bullock - T. Hardaway Jr.,0.8,,,
B. Hield - B. Mathurin,1,,,
M. Fultz - W. Carter Jr.,-1.1,,,
Q. Grimes - I. Quickley,10.8,,,
L. James - D. Schroder,6.9,,,
K. Looney - J. Poole,-3.3,,,
B. Bogdanovic - K. Hayes,-11.6,,,
K. Durant - R. O'Neale,6.3,,,
M. Turner - A. Nesmith,-1,,,
T. McConnell - B. Mathurin,-5.1,,,
A. Gordon - B. Brown,10.3,,,
J. Brown - G. Williams,3.7,,,
J. Butler - G. Vincent,-1.9,,,
K. Lowry - T. Herro,3.1,,,
D. Green - K. Looney,12.1,,,
C. McCollum - B. Ingram,2.4,,,
K. Kuzma - C. Kispert,-2.7,,,
G. Harris - P. Banchero,-2.9,,,
D. Avdija - C. Kispert,-4.7,,,
R. Barrett - I. Quickley,0.9,,,
J. Grant - J. Nurkic,-0.7,,,
M. Smart - D. White,12.3,,,
K. Thompson - D. DiVincenzo,0.9,,,
G. Vincent - M. Strus,-2.5,,,
K. Kuzma - D. Avdija,2.9,,,
D. DeRozan - A. Caruso,7.5,,,
D. Mitchell - I. Okoro,4.4,,,
I. Stewart - J. Ivey,-9.4,,,
J. Jackson Jr. - D. Bane,10.7,,,
M. Brogdon - J. Tatum,7.1,,,
J. Allen - I. Okoro,8.2,,,
B. Beal - K. Kuzma,2.6,,,
D. Green - D. DiVincenzo,7,,,
J. Butler - M. Strus,-0.6,,,
K. Irving - N. Claxton,5.6,,,
B. Bol - F. Wagner,-2.2,,,
M. Brogdon - G. Williams,4.1,,,
M. Strus - T. Herro,-0.4,,,
T. Hardaway Jr. - C. Wood,2.7,,,
D. White - G. Williams,9.4,,,
T. Hardaway Jr. - S. Dinwiddie,-0.6,,,
C. Paul - M. Bridges,-0.4,,,
P. George - K. Leonard,8.9,,,
A. Davis - A. Reaves,11.2,,,
D. Powell - L. Doncic,7.4,,,
K. Oubre Jr. - P. Washington,-11,,,
N. Marshall - T. Murphy III,-3,,,
G. Hayward - P. Washington,-4.8,,,
J. Ivey - J. Duren,-14.4,,,
J. Butler - C. Martin,3,,,
G. Hayward - T. Rozier,-5.7,,,
P. Washington - L. Ball,-4.6,,,
J. Brunson - I. Quickley,8.5,,,
C. Paul - D. Booker,6.7,,,
A. Davis - T. Brown Jr.,1.7,,,
T. Jones - J. Jackson Jr.,7,,,
J. Murray - B. Brown,-0.9,,,
A. Nembhard - B. Mathurin,-7.5,,,
D. Finney-Smith - L. Doncic,-0.3,,,
C. Wood - L. Doncic,1.1,,,
D. Fox - M. Monk,3.9,,,
J. Nurkic - J. Hart,2.3,,,
M. Conley - L. Markkanen,3.1,,,
K. Martin Jr. - T. Eason,-1.9,,,
M. Morris Sr. - K. Leonard,5.9,,,
